Step	Time	I	E	T
105	0.0	-2.9981654	2.2141871	28.5
105	0.1	-2.9981654	2.2141871	28.5
105	0.2	-2.9984539	2.2118409	28.5
105	0.3	-2.9988863	2.2106721	28.5
105	0.4	-2.9991157	2.2085528	28.5
105	0.5	-2.9992588	2.2070875	28.5
105	0.6	-2.9993577	2.205896	28.5
105	0.7	-2.9994273	2.2048466	28.5
105	0.8	-2.9994783	2.203904	28.5
105	0.9	-2.999522	2.202983	28.5
105	1.0	-2.9995568	2.202209	28.5
105	1.1	-2.9995823	2.2014	28.5
105	1.2	-2.9996068	2.200671	28.5
105	1.3	-2.9996295	2.1999722	28.5
105	1.4	-2.999647	2.1992981	28.5
105	1.5	-2.9996629	2.1986134	28.5
105	1.6	-2.9996767	2.1979675	28.5
105	1.7	-2.999689	2.197342	28.5
105	1.8	-2.9997	2.1967437	28.5
105	1.9	-2.9997098	2.196143	28.5
105	2.0	-2.999719	2.1955678	28.5
105	2.1	-2.9997282	2.1950586	28.5
105	2.2	-2.999737	2.194459	28.5
105	2.3	-2.9997456	2.19395	28.5
105	2.4	-2.9997544	2.1933734	28.5
105	2.5	-2.999763	2.192889	28.5
105	2.6	-2.9997709	2.1923566	28.5
105	2.7	-2.9997768	2.1918633	28.5
105	2.8	-2.9997828	2.191371	28.5
105	2.9	-2.99979	2.1908565	28.5
105	3.0	-2.9997952	2.1903992	28.5
105	3.1	-2.9997995	2.189925	28.5
105	3.2	-2.9998045	2.1894727	28.5
105	3.3	-2.9998097	2.1890216	28.5
105	3.4	-2.9998147	2.1886008	28.5
105	3.5	-2.9998205	2.188156	28.5
105	3.6	-2.9998264	2.1876998	28.5
105	3.7	-2.9998286	2.187276	28.5
105	3.8	-2.999832	2.1868582	28.4
105	3.9	-2.999835	2.1864197	28.4
105	4.0	-2.9998403	2.1860075	28.4
105	4.1	-2.9998438	2.1855798	28.4
105	4.2	-2.9998467	2.1852083	28.4
105	4.3	-2.9998488	2.1847942	28.4
105	4.4	-2.9998503	2.1843925	28.4
105	4.5	-2.9998517	2.1839826	28.4
105	4.6	-2.9998527	2.1836417	28.4
105	4.7	-2.9998531	2.1832378	28.4
105	4.8	-2.9998562	2.1828594	28.4
105	4.9	-2.9998584	2.182502	28.4
105	5.0	-2.999859	2.1821	28.4
105	5.1	-2.9998605	2.18175	28.4
105	5.2	-2.9998612	2.181379	28.4
105	5.3	-2.9998612	2.1810114	28.4
105	5.4	-2.999862	2.180671	28.4
105	5.5	-2.9998634	2.1802993	28.4
105	5.6	-2.9998648	2.1799686	28.4
105	5.7	-2.9998662	2.1796167	28.4
105	5.8	-2.9998677	2.1792743	28.4
105	5.9	-2.999869	2.1789362	28.4
105	6.0	-2.9998715	2.1786015	28.4
105	6.1	-2.9998722	2.178279	28.4
105	6.2	-2.9998736	2.1779585	28.4
105	6.3	-2.999875	2.1776109	28.4
105	6.4	-2.999878	2.1772833	28.4
105	6.5	-2.9998808	2.1769807	28.4
105	6.6	-2.9998822	2.1766474	28.4
105	6.7	-2.9998832	2.176332	28.4
105	6.8	-2.9998837	2.176002	28.4
105	6.9	-2.999885	2.1757004	28.4
105	7.0	-2.9998868	2.1753807	28.4
105	7.1	-2.9998868	2.1750526	28.4
105	7.2	-2.9998875	2.1747897	28.4
105	7.3	-2.9998882	2.1744578	28.4
105	7.4	-2.999889	2.1741776	28.4
105	7.5	-2.999891	2.1738765	28.4
105	7.6	-2.999893	2.1735551	28.4
105	7.7	-2.9998953	2.173272	28.4
105	7.8	-2.9998968	2.172986	28.4
105	7.9	-2.9998982	2.1726918	28.4
105	8.0	-2.999899	2.1723986	28.4
105	8.1	-2.999899	2.1721036	28.4
105	8.2	-2.9999003	2.1718266	28.4
105	8.3	-2.9999032	2.171553	28.6
105	8.4	-2.9999056	2.1712825	28.6
105	8.5	-2.9999077	2.1709938	28.6
105	8.6	-2.9999092	2.1706965	28.6
105	8.7	-2.9999106	2.1704218	28.6
105	8.8	-2.999912	2.1701546	28.6
105	8.9	-2.9999127	2.169889	28.6
105	9.0	-2.9999137	2.169624	28.6
105	9.1	-2.999915	2.169356	28.6
105	9.2	-2.9999166	2.1691017	28.5
105	9.3	-2.9999156	2.1688383	28.5
105	9.4	-2.9999156	2.1685452	28.5
105	9.5	-2.9999156	2.168275	28.5
105	9.6	-2.9999173	2.1680124	28.5
105	9.7	-2.999918	2.1677616	28.5
105	9.8	-2.999918	2.1674893	28.5
105	9.9	-2.999918	2.167235	28.5
105	10.0	-2.9999187	2.1669714	28.5
105	10.1	-2.9999194	2.1667395	28.7
105	10.2	-2.9999187	2.1664913	28.7
105	10.3	-2.9999194	2.1662297	28.7
105	10.4	-2.9999208	2.1659741	28.7
105	10.5	-2.9999223	2.1657429	28.7
105	10.6	-2.999923	2.1654959	28.7
105	10.7	-2.999924	2.1652634	28.5
105	10.8	-2.9999273	2.1650102	28.5
105	10.9	-2.9999294	2.1647692	28.5
105	11.0	-2.9999309	2.1644976	28.5
105	11.1	-2.9999301	2.1642728	28.5
105	11.2	-2.9999309	2.1640189	28.5
105	11.3	-2.9999325	2.1638174	28.5
105	11.4	-2.9999332	2.163557	28.5
105	11.5	-2.9999332	2.1633213	28.5
105	11.6	-2.9999332	2.1630766	28.5
105	11.7	-2.9999337	2.1628401	28.5
105	11.8	-2.9999347	2.1626155	28.5
105	11.9	-2.9999347	2.162358	28.5
105	12.0	-2.9999354	2.1621587	28.5
105	12.1	-2.9999354	2.161935	28.5
105	12.2	-2.9999347	2.1616905	28.5
105	12.3	-2.9999347	2.1614797	28.5
105	12.4	-2.9999354	2.1612544	28.5
105	12.5	-2.9999347	2.1610131	28.5
105	12.6	-2.9999332	2.1608007	28.5
105	12.7	-2.9999332	2.1605682	28.5
105	12.8	-2.9999347	2.1603487	28.5
105	12.9	-2.9999347	2.160108	28.5
105	13.0	-2.999936	2.1599102	28.5
105	13.1	-2.9999368	2.159712	28.5
105	13.2	-2.9999382	2.1594856	28.5
105	13.3	-2.9999397	2.1592653	28.5
105	13.4	-2.999939	2.159057	28.5
105	13.5	-2.9999382	2.1588237	28.5
105	13.6	-2.999939	2.1586208	28.5
105	13.7	-2.999939	2.1584163	28.5
105	13.8	-2.999941	2.1581972	28.5
105	13.9	-2.9999425	2.1579688	28.5
105	14.0	-2.9999433	2.157736	28.5
105	14.1	-2.9999447	2.1575496	28.5
105	14.2	-2.9999447	2.157347	28.5
105	14.3	-2.9999447	2.1571338	28.5
105	14.4	-2.9999442	2.1569316	28.5
105	14.5	-2.9999442	2.1567276	28.5
105	14.6	-2.9999454	2.156527	28.5
105	14.7	-2.999946	2.1563103	28.5
105	14.8	-2.999947	2.1561003	28.5
105	14.9	-2.999947	2.1558857	28.5
105	15.0	-2.999946	2.1556756	28.5
105	15.1	-2.9999454	2.1554778	28.5
105	15.2	-2.9999447	2.1552968	28.5
